OrderID,Date,CustomerID,CustomerName,Gender,Age,Region,State,City,Category,SubCategory,ProductID,ProductName,Brand,Quantity,UnitPrice,Discount,Cost,Sales,Profit,PaymentMethod,Segment,ShippingMode,DeliveryDays,Returned,Rating
ORD00001,2024-11-23,CUST1000,Customer 1,Male,52,North,Delhi,New Delhi,Electronics,Phone,P189,Phone Model,Nike,2,2028,0.05,1521.0,3853.2,811.2,UPI,Consumer,Standard,2,Yes,4.3
ORD00002,2024-01-14,CUST1001,Customer 2,Male,45,South,Tamil Nadu,Chennai,Groceries,Rice,P448,Rice Model,Samsung,4,2478,0.0,1858.5,9912.0,2478.0,UPI,Consumer,Express,1,Yes,4.1
ORD00003,2024-07-02,CUST1002,Customer 3,Female,23,East,West Bengal,Kolkata,Clothing,Shirt,P665,Shirt Model,Samsung,4,4592,0.0,3444.0,18368.0,4592.0,Cash,Home Office,Express,5,Yes,4.6
ORD00004,2024-01-24,CUST1003,Customer 4,Female,47,South,Tamil Nadu,Chennai,Clothing,Shirt,P750,Shirt Model,Samsung,2,1027,0.15,770.25,1745.9,205.4,UPI,Corporate,Express,2,No,4.6
ORD00005,2024-12-15,CUST1004,Customer 5,Female,58,North,Delhi,New Delhi,Furniture,Chair,P804,Chair Model,HP,2,3986,0.15,2989.5,6776.2,797.2,Cash,Corporate,Standard,2,Yes,4.7
ORD00006,2024-07-24,CUST1005,Customer 6,Female,43,East,West Bengal,Kolkata,Electronics,Laptop,P758,Laptop Model,Nike,5,2777,0.05,2082.75,13190.75,2777.0,UPI,Corporate,Standard,2,No,4.6
ORD00007,2024-08-07,CUST1006,Customer 7,Male,21,West,Maharashtra,Mumbai,Clothing,Shirt,P981,Shirt Model,Dell,2,4374,0.15,3280.5,7435.8,874.8,UPI,Home Office,Standard,7,No,4.4
ORD00008,2024-07-16,CUST1007,Customer 8,Female,59,West,Maharashtra,Mumbai,Groceries,Milk,P448,Milk Model,Dell,5,294,0.0,220.5,1470.0,367.5,Card,Corporate,Standard,4,Yes,4.9
ORD00009,2024-05-14,CUST1008,Customer 9,Female,28,South,Tamil Nadu,Chennai,Electronics,Phone,P652,Phone Model,Dell,5,1829,0.05,1371.75,8687.75,1829.0,Cash,Corporate,Express,1,Yes,4.9
ORD00010,2024-06-06,CUST1009,Customer 10,Female,22,South,Tamil Nadu,Chennai,Electronics,Laptop,P878,Laptop Model,HP,5,845,0.0,633.75,4225.0,1056.25,UPI,Home Office,Express,5,Yes,3.9
ORD00011,2024-11-06,CUST1010,Customer 11,Female,51,West,Maharashtra,Mumbai,Furniture,Chair,P562,Chair Model,Dell,3,3468,0.1,2601.0,9363.6,1560.6,UPI,Consumer,Standard,3,Yes,4.4
ORD00012,2024-04-27,CUST1011,Customer 12,Male,39,South,Tamil Nadu,Chennai,Electronics,Laptop,P172,Laptop Model,HP,1,2075,0.0,1556.25,2075.0,518.75,Card,Home Office,Express,2,Yes,4.6
